state,dem_prior,rep_prior
california,61.01263834713425,36.954858832464474
,,
,,
new-jersey,57.27213715188599,41.70393385927491
michigan,57.431295266511874,40.95831352366344
maryland,61.919344762645935,36.4745196451127
,,
indiana,49.94591163968428,48.91390717884854
hawaii,71.84611789191477,26.58168124735431
florida,51.03330527066491,48.215319165976226
,,
delaware,61.942668981503935,36.94703354897529
,,
,,
minnesota,54.060292698279845,43.822931044139075
utah,34.40574566607516,62.58386971450171
vermont,0,30.449228724549755
west-virginia,42.58975038229676,55.71034310695479
wyoming,32.540897988675006,64.77628819828946
,,
,,
new-york,60.128828295212614,31.30259116665148
pennsylvania,54.48552801203738,44.16705247991443
,,
,,
,,
,,
montana,47.24985825062921,49.51295324106367
connecticut,60.58864571650301,38.22134725773729
,,
missouri,49.292647865705135,49.42607441187882
,,
texas,43.683121445889626,55.45236045232641
maine,57.705737297975965,40.38401833790823
,,
new-mexico,56.90748026279336,41.77903483433274
,,
nebraska,41.5982657769247,56.53185336979162
,,
washington,57.65289221364836,40.47630494211489
,,
,,
ohio,51.50427006052537,46.91057836327485
,,
tennessee,41.82853806271298,56.89695428289423
wisconsin,56.21778651794235,42.31366248834809
virginia,52.62946987317566,46.33050069025531
rhode-island,62.86973499278178,35.06104217941461
arizona,45.11525087476428,53.63524782262724
massachusetts,61.36319910280229,35.734959289331755
,,
mississippi,43.0015544262384,56.1761889810174
nevada,55.1466759243187,42.65411510898405
north-dakota,44.62054001471791,53.250100277618984
,,
,,
,,
