state,dem_share_2020,incumbent_party,pvi,last_election_year,incumbent_name,open_seat
AL,0.3974,D,R+15,2020,Doug Jones,FALSE
AK,0.4119,R,R+6,2020,Dan Sullivan,FALSE
AR,0.3347,R,R+15,2020,Tom Cotton,FALSE
CO,0.5350,R,D+6,2020,Cory Gardner,FALSE
DE,0.5944,D,D+8,2020,Chris Coons,FALSE
FL,0.4127,R,R+5,2022,Ashley Moody,FALSE
GA,0.5061,D,R+1,2020,Jon Ossoff,FALSE
ID,0.3325,R,R+18,2020,Jim Risch,FALSE
IL,0.5493,D,D+6,2020,Dick Durbin,TRUE
IA,0.4515,R,R+6,2020,Joni Ernst,TRUE
KS,0.4179,R,R+8,2020,Roger Marshall,FALSE
KY,0.3823,R,R+15,2020,Bob,FALSE
LA,0.1902,R,R+11,2020,Bob,FALSE
ME,0.4239,R,D+4,2020,Bob,FALSE
MA,0.6615,D,D+14,2020,Bob,FALSE
MI,0.4990,R,EVEN,2020,Bob,FALSE
MN,0.4874,D,D+3,2020,Bob,FALSE
MS,0.4413,R,R+11,2020,Bob,FALSE
MT,0.4499,R,R+10,2020,Bob,FALSE
NE,0.2443,R,R+10,2020,Bob,FALSE
NH,0.5663,D,D+2,2020,Bob,FALSE
NJ,0.5723,D,D+4,2020,Bob,FALSE
NM,0.5173,D,D+4,2020,Bob,FALSE
NC,0.4694,D,R+1,2020,Bob,FALSE
OH,0.4692,R,R+5,2022,Jon Husted,FALSE
OK,0.3275,R,R+17,2020,Bob,FALSE
OR,0.5691,D,D+8,2020,Bob,FALSE
RI,0.6648,D,D+8,2020,Bob,FALSE
SC,0.4417,R,R+8,2020,Bob,FALSE
SD,0.3426,R,R+15,2020,Bob,FALSE
TN,0.3516,R,R+14,2020,Bob,FALSE
TX,0.4387,R,R+6,2020,Bob,FALSE
VA,0.5599,D,D+3,2020,Bob,FALSE
WV,0.27,R,R+21,2020,Bob,FALSE
WY,0.2676,R,R+23,2020,Bob,FALSE
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
