state,rep_win_prob,betting
wyoming,100,98.7
maine,100,
utah,99.56,99.2
nebraska,99.21,77.8
mississippi,98.32,97.3
indiana,98,97.7
missouri,89.95,97
florida,86.18,81.5
montana,81,77.5
michigan,41.24,19.5
wisconsin,34.98,19.5
ohio,34.94,47.5
nevada,18.95,13
arizona,18.53,12.5
new-jersey,9.08,5.5
new-mexico,6.54,5.5
maryland,5.39,9.5
minnesota,2.12,2.2
connecticut,1.26,1.3
california,0.89,1.7
new-york,0.65,2
massachusetts,0.25,2.3
washington,0.23,2.1
delaware,0.18,1.5
