state,dem_prior,rep_prior
arizona,44.58976694179938,53.654533165974705
california,60.23895914168964,37.1203785207048
alaska,40.81265911246443,54.801577397294466
north-dakota,38.69731088897972,58.31568255855723
hawaii,70.54523035585707,27.83893148560951
indiana,43.927302904058394,54.12553238022445
kentucky,37.8013278344458,60.49314159932162
,,
,,
iowa,51.98801653414908,46.177868510536094
georgia,45.48216048512199,53.29900898706427
colorado,51.49214523168122,46.1269839293067
,,
maryland,61.97419077931849,35.89773233894539
,,
louisiana,40.57746362330215,57.78457572847425
idaho,32.62233355920978,64.52978349589283
,,
,,
new-hampshire,51.97968415071198,46.40379649268888
nevada,52.35624947040056,45.67531564126363
,,
,,
wisconsin,52.77616253515459,45.93834671361976
pennsylvania,51.97159378275084,46.586509132432
south-carolina,44.08803340736147,54.561131255861405
,,
,,
,,
washington,56.16339829967277,41.29462143210913
,,
ohio,50.66674765831986,47.68844087842257
utah,24.74966582796037,72.7905331026891
alabama,38.35903309875247,60.54582232982282
connecticut,58.05684558936727,40.725355365115206
,,
illinois,57.60213536247709,40.7327412708169
,,
,,
,,
florida,50.007865068698685,49.13097776197552
,,
arkansas,36.87899030172011,60.56693608410912
,,
kansas,37.99457055391902,59.711320369216125
,,
new-york,60.760932948702994,31.241570989167872
north-carolina,48.350968577067555,50.39306410214295
oregon,54.239326652769,42.14987117651333
vermont,66.5705503023823,30.97263523672692
,,
,,
south-dakota,39.86614075835246,57.88931187554114
,,
missouri,44.38348354545333,53.76374113587708
,,
oklahoma,33.22768025698344,66.77231974301657
