state,dem_prior,rep_prior
washington,57.97,38.77
california,63.48,34.32
nevada,50.06,47.67
hawaii,63.73,34.27
montana,40.55,56.92
wyoming,26.55,69.94
utah,37.65,58.13
arizona,49.36,49.06
new-mexico,54.29,43.5
north-dakota,31.78,65.12
nebraska,39.17,58.22
texas,46.48,52.06
minnesota,52.4,45.28
missouri,56.8,41.41
wisconsin,49.45,48.82
tennessee,37.45,60.66
mississippi,41.06,57.6
michigan,50.62,47.84
indiana,40.96,57.03
florida,47.86,51.22
ohio,45.24,53.27
west-virginia,29.69,68.62
virginia,54.11,44
pennsylvania,50.01,48.84
maryland,65.36,32.15
delaware,58.74,39.77
new-jersey,57.33,41.4
new-york,60.87,37.74
connecticut,59.26,39.19
rhode-island,59.39,38.61
massachusetts,65.6,32.14
vermont,66.09,30.67
maine,53.09,44.02
