state,dem_prior,rep_prior
california,61.01263834713425,36.954858832464474
arkansas,38.86465976512423,58.71590449992959
,,
,,
,,
maryland,61.919344762645935,36.4745196451127
kentucky,41.16811378392879,57.39902114287592
indiana,49.94591163968428,48.91390717884854
hawaii,71.84611789191477,26.58168124735431
florida,51.03330527066491,48.215319165976226
,,
delaware,61.942668981503935,36.94703354897529
illinois,61.91811452001323,36.7809225421472
iowa,53.92802007386527,44.39325935530208
,,
utah,34.40574566607516,62.58386971450171
vermont,67.45568319560924,30.449228724549755
west-virginia,42.58975038229676,55.71034310695479
,,
,,
georgia,46.99017909606506,52.20451799292952
new-york,60.128828295212614,31.30259116665148
pennsylvania,54.48552801203738,44.16705247991443
south-carolina,44.89656001736624,53.873643978637865
idaho,36.09098763283785,61.51709147303861
louisiana,39.93291380234511,58.56272131075638
,,
,,
connecticut,60.58864571650301,38.22134725773729
north-carolina,49.70438126291962,49.37550875257406
missouri,49.292647865705135,49.42607441187882
oklahoma,34.3549188773065,65.64508112269351
,,
,,
kansas,41.651967194013615,56.61225434349189
,,
alabama,38.74043429457492,60.31691302917061
,,
,,
washington,57.65289221364836,40.47630494211489
colorado,53.66023684069159,44.70752210933716
oregon,56.748806256920645,40.400981692292206
ohio,51.50427006052537,46.91057836327485
new-hampshire,54.12689705613458,44.521428470962206
,,
wisconsin,56.21778651794235,42.31366248834809
,,
,,
arizona,45.11525087476428,53.63524782262724
,,
south-dakota,44.747431114601746,53.15897637279927
,,
nevada,55.1466759243187,42.65411510898405
north-dakota,44.62054001471791,53.250100277618984
alaska,37.88937359938932,59.42451953880631
,,
,,
