state,dem_prior,rep_prior
colorado,47.0378422542883,51.7110953545921
nebraska,32.682160820163816,65.89864119889074
delaware,53.34683760228152,45.75281857192356
,,
,,
,,
west-virginia,43.19971106792417,56.06367089260696
,,
tennessee,42.52529110879618,56.799089491363254
north-carolina,43.5831462205017,56.01719733779452
,,
new-jersey,52.92340900702746,46.23881168128724
montana,38.56408662544817,59.06670070707855
minnesota,51.08968468600654,47.613533791521455
,,
louisiana,42.21586470321228,56.72202134108999
,,
wyoming,29.07471613783131,68.86184005126773
massachusetts,61.6166602048537,36.58840187124994
virginia,45.48389850195428,53.68236353113949
new-hampshire,50.24227651393311,48.87390112403318
,,
alaska,35.51686191210436,61.065329912539426
georgia,41.37494605337877,57.974756766988456
alabama,36.84440232237717,62.46068975770077
idaho,30.26132639983156,68.38283089396387
,,
mississippi,39.760099640236255,59.45267305764466
oklahoma,34.42959833524394,65.57040166475606
,,
,,
,,
arkansas,44.547630445189085,54.30595907843537
,,
,,
,,
texas,38.22417793574617,61.08569088346479
south-dakota,38.443645917854795,59.91113171824891
south-carolina,40.90293188603784,57.98087443516532
rhode-island,59.42342622628301,38.67143713369356
,,
oregon,51.348663042211875,47.19291674243323
,,
new-mexico,49.0466796420487,49.8384247604138
,,
,,
michigan,51.23070672905647,47.812058557810175
maine,53.57285569259347,44.57645743784695
kentucky,39.68707298140969,59.54951383220055
kansas,36.62309430556444,62.003980615547306
iowa,49.23313168421695,49.90065750530225
,,
illinois,54.82316020902781,44.47862682634849
,,
