state,dem_prior,rep_prior
,,
nebraska,32.682160820163816,65.89864119889074
delaware,53.34683760228152,45.75281857192356
connecticut,54.3137089719902,43.94727791082799
california,54.30337601832641,44.35591407786858
arizona,44.396832928795554,54.869434086013754
west-virginia,43.19971106792417,56.06367089260696
washington,52.82114831183694,45.64028199241436
tennessee,42.52529110879618,56.799089491363254
,,
new-york,56.13058126549186,37.6865299923499
new-jersey,52.92340900702746,46.23881168128724
montana,38.56408662544817,59.06670070707855
minnesota,51.08968468600654,47.613533791521455
,,
,,
florida,47.09111002771423,52.09751623233695
wyoming,29.07471613783131,68.86184005126773
massachusetts,61.6166602048537,36.58840187124994
virginia,45.48389850195428,53.68236353113949
,,
,,
,,
,,
,,
,,
,,
mississippi,39.760099640236255,59.45267305764466
,,
,,
maryland,55.91424565860999,42.93427936236057
north-dakota,35.49881246543683,62.86133496146506
,,
wisconsin,49.69971708441122,49.31987145842503
vermont,58.93746257712714,38.80131536395045
utah,25.995641508701897,71.53594785330293
texas,38.22417793574617,61.08569088346479
,,
,,
rhode-island,59.42342622628301,38.67143713369356
pennsylvania,50.923809144150624,48.4236661530542
,,
ohio,48.70668524315362,50.814024335529595
new-mexico,49.0466796420487,49.8384247604138
nevada,47.87804051895702,50.4696915453111
missouri,46.10044651683188,53.29619193926551
michigan,51.23070672905647,47.812058557810175
maine,53.57285569259347,44.57645743784695
,,
,,
,,
indiana,39.26297466533658,59.944765036657174
,,
hawaii,54.00955215809311,45.26459571155186
