state,dem_prior,rep_prior
,,
,,
alaska,40.81265911246443,54.801577397294466
,,
hawaii,70.54523035585707,27.83893148560951
,,
kentucky,37.8013278344458,60.49314159932162
rhode-island,62.507431330040454,35.13488143396732
virginia,51.15645679621864,47.28310289638912
iowa,51.98801653414908,46.177868510536094
georgia,45.48216048512199,53.29900898706427
colorado,51.49214523168122,46.1269839293067
,,
,,
,,
louisiana,40.57746362330215,57.78457572847425
idaho,32.62233355920978,64.52978349589283
mississippi,43.78935954398935,55.285846743581125
massachusetts,60.33830832021647,37.319122315334866
new-hampshire,51.97968415071198,46.40379649268888
,,
,,
new-jersey,58.3423549106376,40.623564827144385
,,
,,
south-carolina,44.08803340736147,54.561131255861405
new-mexico,52.992760520466774,42.84332663909013
west-virginia,35.53930415638732,62.29584241943327
tennessee,39.07581499379519,59.478714719937585
,,
nebraska,38.02731441792898,59.80319217904804
,,
,,
alabama,38.35903309875247,60.54582232982282
,,
minnesota,52.65230315324626,44.958201106668646
illinois,57.60213536247709,40.7327412708169
maine,56.26994587621639,40.98208026024285
michigan,54.20820421051875,44.710916027420225
montana,41.6981373748058,55.3515353849205
,,
delaware,58.606352419906216,39.97960963565511
arkansas,36.87899030172011,60.56693608410912
,,
kansas,37.99457055391902,59.711320369216125
,,
,,
north-carolina,48.350968577067555,50.39306410214295
oregon,54.239326652769,42.14987117651333
vermont,66.5705503023823,30.97263523672692
wyoming,27.818887742360303,68.64262168705658
,,
south-dakota,39.86614075835246,57.88931187554114
texas,41.383358283760856,57.16697746805639
,,
,,
oklahoma,33.22768025698344,66.77231974301657
