state,rep_win_prob,betting
utah,100,
idaho,99.98,
oklahoma,99.97,
arkansas,99.89,
alabama,99.76,
arizona,98.46,
ohio,97.06,
alaska,96.26,
florida,76.62,84
new-hampshire,68.95,
nevada,64.14,52
indiana,52.15,28
missouri,46.8,
wisconsin,29.12,8
washington,17.64,
colorado,11.74,
illinois,2.69,
oregon,0.65,
california,0.32,
connecticut,0.31,
maryland,0,
new-york,0,
