"state","day","rep_estimate","dem_estimate","other_estimate"
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-01,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-02,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
"",2021-09-03,NA,NA,NA
