state,dem_prior,rep_prior
iowa,41.752513445496234,51.16206134467737
montana,35.745765337013,56.16849744642932
,,
,,
west-virginia,26.426080907249627,68.49877453553427
wyoming,21.877357347497934,68.17263307654125
kansas,36.05237073223449,56.65458180583958
maine,47.830202680208096,44.86975333154171
mississippi,40.11478827178409,57.94103808883564
tennessee,34.71633279865009,60.722033694214616
,,
new-hampshire,46.82626266969056,46.458666981953414
,,
,,
arizona,45.12491703028259,48.67042485158719
,,
colorado,48.1569803828474,43.25139737143104
,,
,,
delaware,53.08597745902562,41.71274452811313
massachusetts,60.00506459158761,32.808358140007684
alabama,34.35794575797364,62.08309236440906
new-mexico,48.255647178634106,40.04251433324272
,,
oklahoma,28.931680284543894,65.32286481962736
alaska,36.550871290111985,51.281512077537286
,,
,,
south-carolina,40.67341978966509,54.93933268569543
minnesota,46.44503396176695,44.92519310427733
rhode-island,54.41715834795089,38.88620720864382
,,
new-jersey,55.4530844496942,41.35038665002945
north-carolina,46.172866168209474,49.828094696180415
,,
nebraska,33.69875637713554,58.74735112712576
,,
,,
texas,43.23525798101196,52.234685579335384
,,
arkansas,33.65312412936093,60.57410216382829
,,
,,
,,
michigan,47.21581719335427,47.43857346087157
,,
,,
kentucky,32.68218833364776,62.519638551900094
illinois,55.8253666987933,38.761753073825275
,,
georgia,45.63998335736082,50.771326054771
idaho,27.492013820979206,59.26143236919689
,,
louisiana,38.44956609851397,58.0886846535688
oregon,50.07185200286208,39.094035184496754
south-dakota,31.737428159948987,61.5307503789588
virginia,49.72789199301014,44.40669663012711
