state,rep_win_prob,betting
wyoming,100,
oklahoma,100,97
idaho,99.99,
arkansas,99.97,99
nebraska,99.9,99
alaska,96.77,71
alabama,95.07,89
mississippi,92.16,
montana,62.63,60
maine,41.11,
colorado,26.19,16
michigan,24.43,29
arizona,15.13,17
minnesota,12.4,10
new-mexico,10.84,
oregon,8.03,
new-hampshire,3.54,
illinois,1.47,
massachusetts,0.02,
new-jersey,0.02,
delaware,0,
