state,dem_prior,rep_prior
,,
montana,35.745765337013,56.16849744642932
new-york,56.722342284541526,32.72884002531648
ohio,43.55807627672002,51.68765067578619
west-virginia,26.426080907249627,68.49877453553427
wyoming,21.877357347497934,68.17263307654125
,,
maine,13.26,44.86975333154171
mississippi,40.11478827178409,57.94103808883564
tennessee,34.71633279865009,60.722033694214616
utah,27.459545266522184,45.53795868437707
,,
,,
nevada,47.91782367811904,45.50069531760242
arizona,45.12491703028259,48.67042485158719
california,61.72638863699762,31.61711467898836
,,
florida,47.82331580580505,49.021941416590735
hawaii,62.22149173421738,30.038677008511737
delaware,53.08597745902562,41.71274452811313
massachusetts,60.00506459158761,32.808358140007684
,,
new-mexico,48.255647178634106,40.04251433324272
,,
,,
,,
connecticut,54.56630109670987,40.92691437881478
vermont,0,30.269434755147316
,,
minnesota,46.44503396176695,44.92519310427733
rhode-island,54.41715834795089,38.88620720864382
,,
new-jersey,55.4530844496942,41.35038665002945
,,
,,
nebraska,33.69875637713554,58.74735112712576
,,
pennsylvania,47.464949189665425,48.18333631228592
texas,43.23525798101196,52.234685579335384
wisconsin,46.45384137224266,47.21818456731012
,,
missouri,38.13527156927183,56.77240847937871
washington,52.53868006182659,36.83268018663746
,,
michigan,47.21581719335427,47.43857346087157
maryland,60.32574423519277,33.90930472854767
,,
,,
,,
north-dakota,27.226739458706007,62.9556278313393
,,
,,
indiana,37.774839686752046,56.94003344841128
,,
,,
,,
virginia,49.72789199301014,44.40669663012711
