state,dem_prior,rep_prior
,,
indiana,40.9616365453274,57.0211013672056
new-york,56.37083287084579,34.31298085615695
,,
,,
wyoming,26.553574332014524,69.9362274854118
arkansas,34.77506195301496,62.39572985614432
georgia,49.473055784446274,49.2374738997912
,,
wisconsin,49.44953686142774,48.822437319608824
washington,57.97030113530306,38.76697774334328
,,
,,
idaho,33.06640215480395,63.837564831903634
,,
,,
oregon,56.45331865404888,40.367246046343354
new-hampshire,52.70830620003597,45.355709776049515
maryland,65.36066486007711,32.15029156774876
,,
north-carolina,48.586194188970325,49.93435061225701
kansas,41.55955353883217,56.212512834264736
,,
,,
,,
pennsylvania,50.00849567544814,48.84361204017247
south-dakota,35.60525213613529,61.76938967225024
,,
,,
,,
utah,37.64604858330606,58.129839029919594
colorado,55.3995419069199,41.8979238435606
vermont,66.08641693066397,30.67376465593259
louisiana,39.85145680152621,58.46088241400853
,,
iowa,44.89171557144218,53.089324969202266
,,
south-carolina,43.430088142061784,55.11029395674024
illinois,57.541635840035646,40.55344409706477
kentucky,36.15151481115404,62.08657186929044
alaska,42.771952271020496,52.83314327038078
,,
north-dakota,31.756762359080092,65.11404873707572
nevada,50.056781957284024,47.66624732455941
hawaii,63.73363923901899,34.26886394217965
florida,47.86145072544223,51.21981962250403
,,
california,63.48394689387351,34.32072362528492
arizona,49.364690614366616,49.05598103046474
alabama,36.569990212122335,62.0316431668648
connecticut,59.26144634794266,39.18759098273693
,,
,,
,,
missouri,41.40878173618836,56.79965577888949
ohio,45.239338340705025,53.27130010087464
oklahoma,32.28617433598664,65.37327184806296
