state,rep_win_prob,betting
wyoming,100,
nebraska,99.95,
utah,99.87,
mississippi,99,
maine,83.91,
missouri,59.58,
nevada,52.24,37
indiana,51.51,49
arizona,51.48,43
florida,48.86,46
minnesota,47,
montana,43.5,37
new-jersey,12.45,24
ohio,6.23,14
wisconsin,6.13,16
washington,3.48,
connecticut,1.92,
michigan,1,10
new-mexico,0.19,14
massachusetts,0.04,
california,0.01,
new-york,0,
delaware,0,
maryland,0,
